request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2,BasicRequest,1,60,60,2988;-1;-1,2976;-1;-1,,,,,134.3821430723187,1582.840839174761,0:t_wait:69.18022469987815;t_drive:164.3821430723187;fare:158,,,0,1,129.18022469987815,293.56236777219675,158,0
7,BasicRequest,1,180,180,2991;-1;-1,2992;-1;-1,,,,,35.86219739568159,498.08607494002206,0:t_wait:18.415910021319377;t_drive:65.86219739568159;fare:100,,,0,6,198.41591002131938,264.2781074170009,100,0
0,BasicRequest,1,60,60,2973;-1;-1,2968;-1;-1,,,,,210.33560283374288,2456.135150468651,0:t_wait:86.95947040362216;t_drive:240.33560283374288;fare:245,,,0,0,146.9594704036222,387.2950732373649,245,0
9,BasicRequest,1,240,240,2974;-1;-1,2984;-1;-1,,,,,76.72125937032003,685.0623045417705,0:t_wait:82.64128462967994;t_drive:106.72125937032001;fare:100,,,0,7,322.64128462967994,429.362544,100,0
8,BasicRequest,1,240,240,2972;-1;-1,2982;-1;-1,,,,,207.37430426614094,2174.530711170986,0:t_wait:52.515942102719634;t_drive:237.37430426614088;fare:217,,,0,2,292.51594210271963,529.8902463688605,217,0
11,BasicRequest,1,300,300,2984;-1;-1,2979;-1;-1,,,,,129.35824511263414,1077.9853759386178,0:t_wait:129.362544;t_drive:159.35824511263417;fare:107,,,0,7,429.362544,588.7207891126341,107,0
5,BasicRequest,1,180,180,2981;-1;-1,2986;-1;-1,,,,,145.75221823654294,1365.123481873401,0:t_wait:118.24268845651841;t_drive:244.08203537940005;fare:136,,,0,8,298.24268845651847,542.3247238359183,136,0
4,BasicRequest,1,120,120,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:221.92550046542425;t_drive:274.3633171424876;fare:249,,,0,1,341.92550046542414,616.2888176079115,249,0
6,BasicRequest,1,180,180,2970;-1;-1,2974;-1;-1,,,,,171.40087382851814,1831.1908244961664,0:t_wait:46.98346278996101;t_drive:201.4008738285181;fare:183,,,0,6,431.04895878996103,632.4498326184791,183,0
1,BasicRequest,1,60,60,2969;-1;-1,2986;-1;-1,,,,,237.17544633434414,2168.5367546436687,0:t_wait:289.50923476233936;t_drive:369.0326703343442;fare:216,,,0,6,354.065496,669.0002223343442,216,0
10,BasicRequest,1,300,300,2979;-1;-1,2982;-1;-1,,,,,48.027808219373625,400.2317351614469,0:t_wait:288.7207891126342;t_drive:78.02780821937358;fare:100,,,0,7,588.7207891126341,666.7485973320076,100,0
3,BasicRequest,1,120,120,2979;-1;-1,2972;-1;-1,,,,,248.48565138180408,2598.7980239904605,0:t_wait:214.42192888872194;t_drive:278.48565138180413;fare:259,,,0,8,364.421928888722,672.907580270526,259,0
12,BasicRequest,1,360,360,2990;-1;-1,2980;-1;-1,,,,,183.0318893854258,2002.113969023027,0:t_wait:153.86495359320236;t_drive:213.03188938542587;fare:200,,,0,3,513.8649535932024,726.8968429786279,200,0
14,BasicRequest,1,360,360,2973;-1;-1,2979;-1;-1,,,,,214.42192888872194,2029.9896384970043,0:t_wait:86.95947040362216;t_drive:244.42192888872194;fare:202,,,0,5,446.9594704036221,721.381399292344,202,0
15,BasicRequest,1,420,420,2969;-1;-1,2975;-1;-1,,,,,235.2593142078593,2740.0593236874183,0:t_wait:31.637641524974356;t_drive:265.25931420785935;fare:274,,,0,0,451.6376415249743,786.8963157328332,274,0
20,BasicRequest,1,600,600,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:29.92915958294668;t_drive:156.96715614988648;fare:155,,,0,0,629.9291595829466,786.8963157328332,155,0
18,BasicRequest,1,540,540,2985;-1;-1,2981;-1;-1,,,,,118.68608378068984,1026.684046143721,0:t_wait:237.23497784208553;t_drive:148.68608378068984;fare:102,,,0,2,685.1541230794505,833.8402068601403,102,0
13,BasicRequest,1,360,360,2971;-1;-1,2966;-1;-1,,,,,293.52613269204465,2495.731738892211,0:t_wait:126.61743444612722;t_drive:323.52613269204465;fare:249,,,0,4,486.6174344461271,810.1435671381715,249,0
22,BasicRequest,1,660,660,2983;-1;-1,2976;-1;-1,,,,,40.54091773259992,286.85326681928507,0:t_wait:84.25389928845823;t_drive:70.54091773259995;fare:100,,,0,7,744.2538992884581,814.7948170210581,100,0
21,BasicRequest,1,600,600,2989;-1;-1,2983;-1;-1,,,,,228.90991779071337,2321.4607625416584,0:t_wait:29.92915958294668;t_drive:288.9099177907134;fare:232,,,0,0,629.9291595829466,918.8390773736601,232,0
19,BasicRequest,1,600,600,2981;-1;-1,2974;-1;-1,,,,,162.7755748063922,1500.4598469308316,0:t_wait:55.20215886014046;t_drive:261.10539194924934;fare:150,,,0,5,655.2021588601405,916.3075508093898,150,0
25,BasicRequest,1,660,660,2975;-1;-1,2971;-1;-1,,,,,194.97278947592864,2124.3296456327384,0:t_wait:272.6328290762028;t_drive:224.97278947592872;fare:212,,,0,6,730.9132902078594,955.8860796837882,212,0
29,BasicRequest,1,900,900,2975;-1;-1,2976;-1;-1,,,,,43.17503937342681,359.7919947785567,0:t_wait:14.505550867478973;t_drive:73.17503937342678;fare:100,,,0,8,914.505550867479,987.6805902409059,100,0
16,BasicRequest,1,540,540,2980;-1;-1,2993;-1;-1,,,,,280.34763418232785,2980.034721126262,0:t_wait:186.89684297862823;t_drive:310.34763418232797;fare:298,,,0,3,726.8968429786279,1037.2444771609557,298,0
28,BasicRequest,1,840,840,2985;-1;-1,2972;-1;-1,,,,,121.29189445184034,1503.3785975454011,0:t_wait:68.06683975688338;t_drive:151.29189445184034;fare:150,,,0,7,908.0668397568834,1059.3587342087235,150,0
27,BasicRequest,1,780,780,2973;-1;-1,2977;-1;-1,,,,,143.39508320755175,1540.4760006777287,0:t_wait:34.44352830090247;t_drive:173.3950832075518;fare:154,,,0,8,814.4435283009025,1047.8386115084543,154,0
17,BasicRequest,1,540,540,2980;-1;-1,2990;-1;-1,,,,,293.09504204314567,2515.582030976973,0:t_wait:178.0296349786281;t_drive:323.09504204314567;fare:251,,,0,9,723.9075992690276,1047.0026413121732,251,0
23,BasicRequest,1,660,660,2969;-1;-1,2983;-1;-1,,,,,279.6765855629719,3227.3280516466893,0:t_wait:57.931671482828165;t_drive:309.67658556297204;fare:322,,,0,10,717.931671482828,1027.6082570458002,322,0
24,BasicRequest,1,660,660,2989;-1;-1,2979;-1;-1,,,,,271.3270624720319,2658.2385110764562,0:t_wait:77.51251282031217;t_drive:301.3270624720319;fare:265,,,0,11,737.5125128203123,1068.8395752923445,265,0
26,BasicRequest,1,660,660,2979;-1;-1,2969;-1;-1,,,,,176.08738061285237,2297.2581998185124,0:t_wait:240.0194472923439;t_drive:206.08738061285237;fare:229,,,0,2,900.0194472923438,1106.1068279051965,229,0
31,BasicRequest,1,1020,1020,2986;-1;-1,2983;-1;-1,,,,,133.85582951434202,1163.365297003021,0:t_wait:6.550389715865094;t_drive:163.85582951434208;fare:116,,,0,5,1026.550389715865,1190.4062192302072,116,0
30,BasicRequest,1,960,960,2981;-1;-1,2973;-1;-1,,,,,200.76132754348157,2129.1388889142154,0:t_wait:42.66033486014078;t_drive:299.0911446863387;fare:212,,,0,11,1002.6603348601407,1301.7514795464795,212,0
32,BasicRequest,1,1080,1080,2968;-1;-1,2979;-1;-1,,,,,230.26400605497906,2772.5724880283537,0:t_wait:28.149747058024786;t_drive:260.26400605497906;fare:277,,,0,1,1108.1497470580246,1368.4137531130045,277,0
33,BasicRequest,1,1080,1080,2967;-1;-1,2985;-1;-1,,,,,260.0224157999395,2734.667774999161,0:t_wait:5.864769547126798;t_drive:290.0224157999396;fare:273,,,0,3,1085.8647695471266,1375.8871853470662,273,0
42,BasicRequest,1,1320,1320,2977;-1;-1,2984;-1;-1,,,,,46.326631425678904,386.05526188065755,0:t_wait:14.744653285862796;t_drive:76.3266314256789;fare:100,,,0,5,1334.7446532858628,1411.0712847115417,100,0
