request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2,BasicRequest,1,60,60,2988;-1;-1,2976;-1;-1,,,,,134.3821430723187,1582.840839174761,0:t_wait:69.18022469987815;t_drive:164.3821430723187;fare:158,,,0,1,129.18022469987815,293.56236777219675,158,0
0,BasicRequest,1,60,60,2973;-1;-1,2968;-1;-1,,,,,210.33560283374288,2456.135150468651,0:t_wait:86.95947040362216;t_drive:240.33560283374288;fare:245,,,0,0,146.9594704036222,387.2950732373649,245,0
7,BasicRequest,1,180,180,2991;-1;-1,2992;-1;-1,,,,,35.86219739568159,498.08607494002206,0:t_wait:172.20783278365872;t_drive:65.86219739568156;fare:100,,,0,4,352.2078327836586,418.0700301793401,100,0
9,BasicRequest,1,240,240,2974;-1;-1,2984;-1;-1,,,,,76.72125937032003,685.0623045417705,0:t_wait:115.4628993808185;t_drive:106.72125937032001;fare:100,,,0,6,355.4628993808185,462.18415875113857,100,0
8,BasicRequest,1,240,240,2972;-1;-1,2982;-1;-1,,,,,207.37430426614094,2174.530711170986,0:t_wait:52.515942102719634;t_drive:237.37430426614088;fare:217,,,0,5,292.51594210271963,529.8902463688605,217,0
4,BasicRequest,1,120,120,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:221.92550046542425;t_drive:274.3633171424876;fare:249,,,0,1,341.92550046542414,616.2888176079115,249,0
5,BasicRequest,1,180,180,2981;-1;-1,2986;-1;-1,,,,,145.75221823654294,1365.123481873401,0:t_wait:286.6514868601405;t_drive:175.75221823654294;fare:136,,,0,2,466.65148686014044,642.4037050966833,136,0
6,BasicRequest,1,180,180,2970;-1;-1,2974;-1;-1,,,,,171.40087382851814,1831.1908244961664,0:t_wait:191.26697640944315;t_drive:201.40087382851812;fare:183,,,0,3,427.58479355230025,628.9856673808184,183,0
11,BasicRequest,1,300,300,2984;-1;-1,2979;-1;-1,,,,,129.35824511263414,1077.9853759386178,0:t_wait:162.18415875113845;t_drive:159.35824511263417;fare:107,,,0,6,462.18415875113857,621.5424038637725,107,0
1,BasicRequest,1,60,60,2969;-1;-1,2986;-1;-1,,,,,237.17544633434414,2168.5367546436687,0:t_wait:289.50923476233936;t_drive:369.0326703343442;fare:216,,,0,3,350.6013307623392,665.5360570966835,216,0
10,BasicRequest,1,300,300,2979;-1;-1,2982;-1;-1,,,,,48.027808219373625,400.2317351614469,0:t_wait:285.098887292344;t_drive:78.02780821937358;fare:100,,,0,7,585.098887292344,663.1266955117176,100,0
